epoch,loss,precision,recall,f1,accuracy,auc,aupr,mcc,TP,TN,FP,FN,current_lr,aux_loss
1,1.2953935823651404,0.7167814333078296,0.8148738764859379,0.7626865671641792,0.7464298658934396,0.8290984440606894,0.8110944555446002,0.4975364917221593,5621,4676,2221,1277,0.001,0.5357679116939799
2,0.9897228447282258,0.7722857494159596,0.9105537837054218,0.835739471758366,0.8210221094599492,0.9064125560745482,0.8891757059762367,0.6525856930112768,6281,5045,1852,617,0.001,0.4704588082808653
3,0.8645298039148406,0.8107805303124611,0.9441867207886344,0.8724131002612016,0.8619064878579196,0.9395493134639493,0.9284563962640237,0.7338130043104557,6513,5377,1520,385,0.001,0.4496413284315498
4,0.7966747041109811,0.8891795154185022,0.9363583647434038,0.9121592995339641,0.9098223994200797,0.9651413691742974,0.9587537874615846,0.8208004712599368,6459,6092,805,439,0.001,0.43839312609105524
5,0.7490415842734458,0.8956922243294501,0.958538706871557,0.9260504201680673,0.9234505255527365,0.974560922168647,0.9711367166955381,0.8489930413445845,6612,6127,770,286,0.001,0.43209197285999296
6,0.7186003040515586,0.9267747344885411,0.9614380979994201,0.9437882453394052,0.9427328742297933,0.9809513323936061,0.977988947527128,0.8860855291022882,6632,6373,524,266,0.001,0.42705481792720124
7,0.6974764648923497,0.9251849821869005,0.978834444766599,0.9512538743307974,0.9498368974266038,0.985728874854216,0.9812195855999594,0.9011900464808549,6752,6351,546,146,0.001,0.4238809994734815
8,0.6769984068365882,0.9424229750453088,0.9799942012177443,0.9608414469476227,0.9600579920260964,0.9897973549666502,0.987861905732322,0.9208479280897864,6760,6484,413,138,0.001,0.42090559942514816
9,0.6599581498259779,0.9528381813047162,0.9782545665410264,0.965379113018598,0.9649148242116709,0.9918736439713327,0.9906144901899943,0.9301605360780463,6748,6563,334,150,0.001,0.4184254082815669
10,0.6486870203038928,0.9546348314606742,0.985358074804291,0.9697531744899415,0.9692642261689017,0.9943190094499467,0.9935738917106403,0.9390148048716787,6797,6574,323,101,0.001,0.41614260170426487
11,0.6393177299881465,0.9651656754460493,0.988112496375761,0.9765042979942693,0.9762232693004712,0.9952291311415583,0.9941649300303391,0.952715796195054,6816,6651,246,82,0.001,0.41413748151068785
12,0.6316069299304515,0.9627584253752478,0.9856480139170775,0.9740687679083094,0.9737586081913737,0.9954475943986807,0.9948681873501242,0.9477850715025199,6799,6634,263,99,0.001,0.41263850440642846
13,0.6225762029625705,0.9653130287648054,0.9924615830675558,0.978699070764832,0.9783979702790866,0.9952672705152101,0.9934664047361854,0.957174529194126,6846,6651,246,52,0.001,0.41092549856966853
14,0.6154212008874111,0.9721511793123047,0.9918817048419832,0.9819173363949484,0.9817325117796303,0.9975968936620454,0.997431085917915,0.9636634940993225,6842,6701,196,56,0.001,0.4096081171163984
15,0.6110170118227174,0.9787295199770049,0.9872426790374021,0.9829676674364896,0.9828923523015586,0.9960891325044446,0.9948877330419038,0.9658212250403773,6810,6749,148,88,0.001,0.408574296869513
16,0.6056487894049586,0.9810044610735358,0.9882574659321542,0.9846176067018126,0.9845596230518304,0.997604765359721,0.997197163306933,0.9691457218581412,6817,6765,132,81,0.001,0.40737632187948186
17,0.6003862837079039,0.9839873052510099,0.9888373441577268,0.9864063629790311,0.9863718738673433,0.9986639133170754,0.9986391641446584,0.9727555560454825,6821,6786,111,77,0.001,0.405964649414057
18,0.5965237108249948,0.9832997408580478,0.9901420701652653,0.9867090436290089,0.9866618339978253,0.9983850513329274,0.9983274700270707,0.9733472234742455,6830,6781,116,68,0.001,0.405039750484587
19,0.5940920692114089,0.9864318706697459,0.9907219483908379,0.9885722551714162,0.9885465748459586,0.9986574499071013,0.9984602461025236,0.9771023844671081,6834,6803,94,64,0.001,0.4043338981847609
20,0.5892075972135363,0.9828006306435431,0.9940562481878805,0.9883963963963964,0.9883291047480971,0.9985825058802317,0.9984576945035775,0.9767222558775783,6857,6777,120,41,0.001,0.40339977598894594
21,0.5866755997931539,0.9860612156919097,0.9947810959698463,0.9904019629068341,0.9903588256614716,0.9989167535075717,0.9987742605051028,0.9807559933559677,6862,6800,97,36,0.001,0.4023082363875817
22,0.5836246424284738,0.9884858952216465,0.9956509133082053,0.9920554672829698,0.9920260964117433,0.9993647151120157,0.9993001556750165,0.9840780404167355,6868,6817,80,30,0.001,0.40176180741004036
23,0.5819627358542702,0.9844018317115054,0.99724557842853,0.990782082673196,0.9907212758245741,0.9992240124571665,0.9991017390687743,0.9815260929089329,6879,6788,109,19,0.001,0.40105944038171953
24,0.5825404059675215,0.9832952598515134,0.9984053348796753,0.990792691699036,0.9907212758245741,0.998661285914647,0.9983063413864737,0.9815584462674306,6887,6780,117,11,0.001,0.40066505102142996
25,0.5803807288764741,0.9865155644814231,0.9969556393157437,0.9917081260364843,0.9916636462486408,0.9995657113977936,0.9995130363444495,0.9833823562727064,6877,6803,94,21,0.001,0.4001287661864679
26,0.5774966157532637,0.9893571120379693,0.99724557842853,0.9932856833441629,0.9932584269662922,0.999515338838435,0.99947504918282,0.9865482105189655,6879,6823,74,19,0.001,0.3993448224118511
27,0.5685508423674231,0.9923598097160156,0.9979704262104958,0.9951572099747018,0.9951431678144255,0.9996160629379329,0.9995168241673387,0.990302161831308,6884,6844,53,14,0.0005,0.39805992012699687
