epoch,loss,precision,recall,f1,accuracy,auc,aupr,mcc,TP,TN,FP,FN,current_lr,aux_loss
17,0.6021524946859843,0.9780658025922233,0.9955059437518121,0.9867088152884547,0.9865893439652048,0.998219819249006,0.9979397110038974,0.973333425727454,6867,6743,154,31,0.001,0.40668452600106986
18,0.5985435652361265,0.9819535949584646,0.9939112786314874,0.9878962536023055,0.9878216745197536,0.9985913970100496,0.9984455572422984,0.9757156852035829,6856,6771,126,42,0.001,0.4055113332927897
19,0.5947346675175608,0.9781927023945268,0.9949260655262395,0.9864884289205117,0.9863718738673433,0.9983702958408893,0.9980723170824324,0.9728860926324006,6863,6744,153,35,0.001,0.4044216378457943
20,0.5913248067275473,0.9860451733563516,0.993621339518701,0.9898187594772185,0.9897789054005074,0.9986677808534501,0.9984316875630213,0.9795867186294738,6854,6800,97,44,0.001,0.4035264479670028
21,0.5879978461211987,0.9890268553277505,0.9930414612931284,0.9910300925925926,0.9910112359550561,0.9994278148087379,0.9993914070711667,0.9820305580377393,6850,6821,76,48,0.001,0.4026910318231704
22,0.5865114332412023,0.9886249100071994,0.9953609741954189,0.9919815068987936,0.9919536063791229,0.9988959654995577,0.9986992236152398,0.9839300476646837,6866,6818,79,32,0.001,0.40214753620720795
23,0.585488476283138,0.9859256067786873,0.9952160046390258,0.9905490224370536,0.9905038057267126,0.9987262353026787,0.998329148276655,0.9810511611202086,6865,6799,98,33,0.001,0.401419969207731
24,0.5827519188673871,0.9869365489520529,0.9966657002029574,0.9917772648586266,0.9917361362812613,0.998818677829722,0.9985799125453642,0.9835200574628946,6875,6806,91,23,0.001,0.4007550898273977
25,0.5801170312654026,0.9858145866169938,0.9973905479849232,0.9915687828781437,0.9915186661833998,0.9994867316807938,0.9994508199160365,0.9831051088773949,6880,6798,99,18,0.001,0.40020129883692246
26,0.5776635608063007,0.9856774563162418,0.9976804870977095,0.9916426512968299,0.9915911562160203,0.9989579721968693,0.9985372526437912,0.9832552144127777,6882,6797,100,16,0.001,0.3993872761006706
27,0.5780348980716278,0.9880832735104091,0.9976804870977095,0.992858688595542,0.9928234867705691,0.999529884138279,0.999476164883902,0.9856934672114258,6882,6814,83,16,0.001,0.39915964497808926
28,0.5768023856397382,0.9859739516244453,0.9986952739924616,0.9922938422758373,0.9922435665096049,0.999591995931688,0.9995475327982866,0.9845690840401928,6889,6799,98,9,0.001,0.3987730602620844
29,0.5739832457272459,0.9895054629097182,0.9978254566541026,0.9936480438862423,0.9936208771293947,0.9993004383390058,0.9991705109793672,0.9872766515762876,6883,6824,73,15,0.001,0.39801251580932623
30,0.573239894611501,0.9920589084608721,0.9960858219773847,0.9940682870370371,0.9940558173251178,0.9996076972886005,0.9995668127620093,0.9881197727742411,6871,6842,55,27,0.001,0.3975978331643469
31,0.5718308883544628,0.9915022324643525,0.9979704262104958,0.9947258146087711,0.9947082276187025,0.9992920096320153,0.9991408582199212,0.9894375075897215,6884,6838,59,14,0.001,0.39735410253550746
32,0.5638990157926891,0.9939367691641403,0.9981153957668889,0.9960216998191682,0.9960130482058717,0.9998620088244567,0.9998560736663404,0.9920348621649532,6885,6855,42,13,0.0005,0.3960532167863105
33,0.5566370086032181,0.9935111751982696,0.9988402435488547,0.9961685823754789,0.9961580282711128,0.9998548412706321,0.9998488867151891,0.9923303309349318,6890,6852,45,8,0.0005,0.39501254096650196
34,0.5557147351197895,0.9948029449978346,0.9989852131052479,0.9968896925858951,0.9968829285973179,0.9998075059884807,0.9997931006373392,0.9937746388644658,6891,6861,36,7,0.0005,0.3948244477626734
35,0.5567296610314071,0.9946570397111913,0.9985503044360684,0.996599869782247,0.9965929684668358,0.9998297022841964,0.9998109089855007,0.993193544355602,6888,6860,37,10,0.0005,0.39479049426453855
36,0.5556274137923838,0.9952325917364924,0.9986952739924616,0.9969609261939218,0.9969554186299384,0.9998636273043529,0.9998558033525236,0.993916852423931,6889,6864,33,9,0.0005,0.3946868319963499
37,0.5537136836473645,0.9949392712550608,0.9975355175413163,0.9962357029100912,0.9962305183037332,0.9996909544167539,0.9996032223286686,0.9924644146027558,6881,6862,35,17,0.0005,0.39445587323875253
38,0.5503448191178195,0.9965282800520758,0.9986952739924616,0.9976106002461805,0.9976078289235231,0.9999247722136682,0.9999226150745025,0.9952180104256141,6889,6873,24,9,0.00025,0.39404246143028593
39,0.5448124254687449,0.9968175900477362,0.9989852131052479,0.9979002244587648,0.9978977890540051,0.9999412092432606,0.9999377556925599,0.9957979321523677,6891,6875,22,7,0.00025,0.3935319273366893
40,0.5434107701602989,0.9966748590429377,0.9994201217744274,0.9980456026058632,0.998042769119246,0.9999418608390628,0.9999394813695923,0.9960893165770652,6894,6874,23,4,0.00025,0.3933714139378208
41,0.5437072341880231,0.9972491675112205,0.9985503044360684,0.997899311843535,0.9978977890540051,0.999888745271569,0.9998453806199706,0.9957964253887354,6888,6878,19,10,0.00025,0.39336619668232764
42,0.5429021258810457,0.9972471747319618,0.9978254566541026,0.9975362318840579,0.9975353388909025,0.9999363538035727,0.9999326362838443,0.9950708448736099,6883,6878,19,15,0.00025,0.3933013225318583
