epoch,loss,precision,recall,f1,accuracy,auc,aupr,mcc,TP,TN,FP,FN,current_lr,aux_loss
1,1.2863935652570735,0.712865055387714,0.8210816296940698,0.7631561215551512,0.7451975353388909,0.8277644803189271,0.8105147026476991,0.4961498673925709,5663,4617,2281,1234,0.001,0.5348885094272611
2,0.9808552282104548,0.8314606741573034,0.847614905031173,0.8394600804135555,0.8379122870605292,0.913963437404113,0.8987289447976661,0.6759526000169906,5846,5713,1185,1051,0.001,0.4686190932210306
3,0.8621215108556565,0.8299704408173757,0.936349137306075,0.8799563973293364,0.8722725625226532,0.9458241284916653,0.9306087577319421,0.7507385742091135,6458,5575,1323,439,0.001,0.4485992076695397
4,0.7940249662591133,0.901623006833713,0.9182253153545019,0.9098484304288486,0.909025009061254,0.9630692209558421,0.9546780128123956,0.818188962203428,6333,6207,691,564,0.001,0.4388032476083335
5,0.7461810959686012,0.9094444444444445,0.9493982891112077,0.9289919841100943,0.9274374773468648,0.973945910317801,0.9674182586761246,0.8557014559636115,6548,6246,652,349,0.001,0.43212773907931007
6,0.7132873114877613,0.918710388536787,0.966797158184718,0.942140586365242,0.9406306632837985,0.9792402418168711,0.9733563640723467,0.8824712488749978,6668,6308,590,229,0.001,0.42735729704223147
7,0.693090545375004,0.9346094732429789,0.9698419602725823,0.9518998149992884,0.9509967379485321,0.987149238097436,0.9855728301937287,0.9026352445032017,6689,6430,468,208,0.001,0.4238137275193882
8,0.6735472777953568,0.9208749662435863,0.988835725677831,0.9536460882332378,0.9519391083725988,0.9907542444214887,0.9893367985049528,0.9063499189122752,6820,6312,586,77,0.001,0.4213193858471058
9,0.6601625082543813,0.9690149079216603,0.9612875163114397,0.9651357449596041,0.9652772743747735,0.9928760295266224,0.9916754395299349,0.9305840934765703,6630,6686,212,267,0.001,0.4188862271452457
10,0.6491132983050082,0.9646821392532795,0.97027693199942,0.9674714471591731,0.9673794853207683,0.9932634242502854,0.9921691984512351,0.9347747164319368,6692,6653,245,205,0.001,0.4166921011929107
11,0.6389822456706215,0.9671307592938136,0.976946498477599,0.9720138488170802,0.9718738673432403,0.9938618414273932,0.9928436934668601,0.9437963797192068,6738,6669,229,159,0.001,0.41455414763049236
12,0.6283494948131012,0.9640287769784173,0.9908655937364071,0.9772629772629773,0.9769481696266763,0.9959047203827953,0.9953546343639513,0.9542662099769089,6834,6643,255,63,0.001,0.41288286038053645
