epoch,loss,precision,recall,f1,accuracy,auc,aupr,mcc,TP,TN,FP,FN,current_lr,aux_loss
1,1.2976647208621102,0.7170397205330573,0.8034212815308786,0.757776714295481,0.7431864308495216,0.8266624149549064,0.8041514797902856,0.4899411005219758,5542,4711,2187,1356,0.001,0.5372686710304784
2,0.9920047961583722,0.7964533538936006,0.8985213105247898,0.8444141689373297,0.8344447665990142,0.908705779136338,0.8918210693165979,0.6744507859057893,6198,5314,1584,700,0.001,0.4698267194620939
3,0.8681579939210957,0.8356146179401993,0.9115685706001739,0.8719406503501352,0.866120614670919,0.9344981392701385,0.9214752500944223,0.7352850163327721,6288,5661,1237,610,0.001,0.4491168389457072
4,0.806690259130494,0.8829454198992787,0.9404175123224123,0.9107757107757107,0.9078718469121484,0.9626077320515374,0.9558833305383962,0.8174773092361075,6487,6038,860,411,0.001,0.4398379925447259
5,0.7569712748144564,0.9161804468478725,0.9333140040591476,0.9246678635547576,0.9239634676717889,0.9705029930812239,0.9641300116805336,0.848075247042178,6438,6309,589,460,0.001,0.43295726880137386
6,0.7236251984861977,0.9231849459345598,0.953029863728617,0.9378700335259291,0.9368657581907799,0.9796837187965535,0.9767809278998693,0.8741884487565328,6574,6351,547,324,0.001,0.4283198388346852
7,0.6974889502279238,0.9436438864317306,0.9588286459843433,0.9511756669303228,0.950782835604523,0.9866919817670415,0.9845722728456164,0.9016824197067564,6614,6503,395,284,0.001,0.4242237103963096
8,0.6766423895138525,0.9525526391693107,0.9575239199768049,0.9550318102949682,0.9549144679617281,0.9873845802326423,0.984150957342298,0.9098413266634092,6605,6569,329,293,0.001,0.4214424314296532
9,0.6638297053066397,0.9563300142247511,0.9746303276311975,0.965393452039058,0.965062336909249,0.992000919079246,0.9912255557638566,0.9302950198209364,6723,6591,307,175,0.001,0.4190388507009089
10,0.6488720962157212,0.9626780626780627,0.979704262104958,0.9711165397327202,0.9708611191649753,0.9939196220518829,0.9928609375552289,0.9418695604681419,6758,6636,262,140,0.001,0.41657989095646986
11,0.6382083825077932,0.970288502942443,0.9799942012177443,0.9751172015867292,0.9749927515221803,0.9955049980240596,0.9949979039088542,0.9500330334341778,6760,6691,207,138,0.001,0.4143416121072806
12,0.6325784069311795,0.9651706073906272,0.9882574659321542,0.9765776090537928,0.9762974775297187,0.9952545272828165,0.9943181715220527,0.9528675929449905,6817,6652,246,81,0.001,0.41276099739953215
13,0.6243186875784629,0.9774522475944277,0.9866628008118296,0.9820359281437125,0.9819512902290519,0.997224099900459,0.9968627193056827,0.9639453773671235,6806,6741,157,92,0.001,0.41108599189008954
14,0.616881327772182,0.9663318715518461,0.9902870397216584,0.9781628123433809,0.9778921426500435,0.996122663327393,0.9956167090944497,0.9560781016462756,6831,6660,238,67,0.001,0.4098700622433112
15,0.6122147850141417,0.9757800256446787,0.9928964917367353,0.9842638499676655,0.9841258335749493,0.9975491780532989,0.9970683667834124,0.9684006659791764,6849,6728,170,49,0.001,0.4084187950608427
16,0.6062489149362393,0.9835994194484761,0.982458683676428,0.9830287206266318,0.9830385619020006,0.9975608840612592,0.9971467974650972,0.9660777735084412,6777,6785,113,121,0.001,0.40734748960656
17,0.6041089494562246,0.978282611801686,0.9926065526239489,0.9853925307620349,0.9852855900260945,0.9978644626698558,0.9974940108821367,0.9706752352070748,6847,6746,152,51,0.001,0.40644789002068876
